Manufacturer,InsertType,Purification,Batch,Replicate,File,0,1,2,3,4,5,6,>7
bs,fwd,dHPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/bs_fwd_dHPLC_b1_1,89.81148366671464,7.0082026190818825,1.424665419484818,0.5324507123327098,0.3022017556482947,0.10073391854943158,0.17268671751331127,0.6475751906749172
bs,fwd,dHPLC,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/bs_fwd_dHPLC_b1_2,90.52755772796225,6.067756615540199,1.4158098769593797,0.7416146974549132,0.28653295128939826,0.1854036743637283,0.05056463846283499,0.7247598179673015
bs,fwd,dHPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/bs_fwd_dHPLC_b1_3,90.15901590159015,7.2607260726072615,1.155115511551155,0.46504650465046504,0.21002100210021002,0.015001500150015003,0.075007500750075,0.6600660066006601
eurofins,fwd,extremer,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_extremer_b1_1,97.4174653887114,1.8903088391906284,0.13312034078807242,0.07987220447284345,0.07987220447284345,0,0,0.3993610223642172
eurofins,fwd,extremer,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_extremer_b1_2,97.50599520383693,1.6786570743405276,0.19184652278177458,0.1199040767386091,0.1199040767386091,0.09592326139088729,0.047961630695443645,0.2398081534772182
eurofins,fwd,extremer,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_extremer_b1_3,97.72575250836121,1.2931995540691192,0.11148272017837235,0.3121516164994426,0.11148272017837235,0,0,0.4459308807134894
eurofins,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/eurofins_fwd_PAGE_b1_3,97.18492854049371,2.4191053641031983,0.2907876013116377,0.06186970240673142,0,0.012373940481346286,0.006186970240673143,0.02474788096269257
idt,fwd,desalted,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b1_1,93.70329057445622,4.255437813720022,0.5298382598996095,0.2063580591187953,0.12827663134411602,0.13385387618516453,0.1226993865030675,0.9202453987730062
idt,fwd,desalted,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b1_2,93.72800288782601,4.196372168576843,0.6046385705261258,0.14439130042414947,0.1534157567006588,0.10829347531811208,0.07219565021207473,0.9926901904160275
idt,fwd,desalted,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b1_3,93.47200708121267,4.292985173710998,0.47945710702957883,0.18440657962676107,0.1696540532566202,0.12539647414619753,0.11064394777605664,1.16544958324113
idt,fwd,desalted,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b2_1,82.66247791085804,12.801884940113881,2.7685057922638916,1.079913606911447,0.17671313567641864,0.17671313567641864,0.11780875711761242,0.21598272138228944
idt,fwd,desalted,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b2_2,83.44320486815415,11.359026369168356,2.611561866125761,1.191683569979716,0.7099391480730223,0.05070993914807302,0.12677484787018256,0.5070993914807302
idt,fwd,desalted,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b2_3,83.0248212031973,12.158182583087926,2.503155237694573,1.367269667648296,0.4627681952040387,0.16827934371055953,0.04206983592763988,0.27345393352965924
idt,fwd,desalted,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b3_1,95.09643003693066,3.4878949528108327,0.45137464095199015,0.2051702913418137,0.12310217480508823,0,0.08206811653672548,0.553959786622897
idt,fwd,desalted,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b3_2,95.31357684355616,3.5837353549276365,0.13783597518952445,0.2756719503790489,0.16080863772111187,0.1837813002526993,0.06891798759476223,0.2756719503790489
idt,fwd,desalted,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_desalted_b3_3,95.6043956043956,3.4639273769708554,0.4538939321548017,0.0716674629718108,0.0716674629718108,0.023889154323936932,0.023889154323936932,0.2866698518872432
idt,fwd,gblocks,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_gblocks_b1_1,98.88985423303409,0.9749975866396371,0.01930688290375519,0,0.009653441451877595,0.03861376580751038,0.009653441451877595,0.057920648711265565
idt,fwd,gblocks,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_gblocks_b1_2,99.03952307352617,0.8169573857363657,0.011039964672113049,0,0.011039964672113049,0.011039964672113049,0,0.11039964672113049
idt,fwd,gblocks,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_gblocks_b1_3,99.14210294764628,0.6709194896612407,0.04399472063352398,0.02199736031676199,0.010998680158380994,0,0.010998680158380994,0.09898812142542894
idt,fwd,HPLC,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_HPLC_b1_1,94.66666666666667,4.4363636363636365,0.36363636363636365,0.48484848484848486,0.024242424242424242,0,0.024242424242424242,0
idt,fwd,HPLC,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_HPLC_b1_2,95.26793431287814,3.8893690579083837,0.3673292999135696,0.12964563526361278,0.108038029386344,0.043215211754537596,0.021607605877268798,0.17286084701815038
idt,fwd,HPLC,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_HPLC_b1_3,94.14927941492795,5.01183050118305,0.5162400516240052,0.1290600129060013,0.1290600129060013,0,0.021510002151000216,0.04302000430200043
idt,fwd,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_1,90.26183141977037,8.401008120974517,1.0361243349201905,0.2380285634276113,0.03500420050406049,0.007000840100812098,0.014001680201624195,0.007000840100812098
idt,fwd,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_2,90.80611169652265,7.744994731296101,1.0669125395152792,0.2173340358271865,0.07903055848261328,0.03292939936775553,0,0.052687038988408846
idt,fwd,PAGE,b1,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b1_3,89.74642488574376,9.022556390977442,0.9140498304584991,0.19902697921273774,0.044228217602830605,0.014742739200943536,0.007371369600471768,0.05159958720330237
idt,fwd,PAGE,b2,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_1,96.415770609319,3.2752440983809175,0.2471882338400692,0.024718823384006924,0.03707823507601038,0,0,0
idt,fwd,PAGE,b2,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_2,96.01368436709802,3.5698348951361,0.29748624126134166,0.059497248252268334,0.014874312063067083,0.014874312063067083,0.014874312063067083,0.014874312063067083
idt,fwd,PAGE,b2,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b2_3,96.30096679277007,3.432814908224744,0.12610340479192939,0.07005744710662744,0.028022978842650974,0.014011489421325487,0,0.028022978842650974
idt,fwd,PAGE,b3,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_1,94.52988465571478,4.980775952464174,0.4019573575672841,0.06990562740300593,0,0,0,0.017476406850751483
idt,fwd,PAGE,b3,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_2,95.19369876225687,4.179392380646198,0.30541713550876065,0.11252210255585919,0.16074586079408454,0.016074586079408457,0,0.032149172158816915
idt,fwd,PAGE,b3,3,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_fwd_PAGE_b3_3,95.35295419340562,3.8946669617171943,0.5310909493250718,0.11064394777605664,0,0.04425757911042266,0,0.06638636866563398
idt,rev,PAGE,b1,1,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_1,96.88680474143545,2.7354435326299336,0.33867396118275367,0.039077764751856196,0,0,0,0
idt,rev,PAGE,b1,2,/Users/stefan/Documents/GitHub/OligoAnalysis/data/umierrorcorrect/idt_rev_PAGE_b1_2,96.98554290987389,2.7683789603199016,0.1845585973546601,0,0.030759766225776686,0,0,0.030759766225776686
