Size (bp),ptc_1,ptc_2,ptc_3,ntc_1,ntc_2,ntc_3
0.27,2496.94,1382.43,2072.31,2241.02,2462.69,1599.06
0.51,3570.22,2688.99,3477.05,3555.71,3335.72,2807.37
0.76,3729.48,3709.46,4177.11,4104.57,3368.59,3579.34
1,2882.92,3694.73,3647.37,3502.55,2573.98,3366.39
2,1675.53,2684.82,2345.86,2241.69,1520.8,2367.43
2.24,765.85,1444.42,1144.62,1109.27,733.13,1275.56
2.48,317.19,608.87,468.83,466.61,332.84,565.42
2.72,158.39,244.08,209.89,210.97,182.22,248.99
2.97,112.03,95.45,132.75,130.32,133.09,141.2
3.21,97.64,82.28,108.01,104.37,113.47,105.7
3.45,91.31,75.97,96.88,94.21,103.39,90.35
3.69,87.52,73.71,92.05,89.58,99.64,82.26
3.93,86.22,75.05,92.34,86.8,101.69,78.54
4.17,87.71,79.46,103.72,85.44,103.94,78.37
4.41,91.23,84.94,110.36,92.36,107.02,86.71
4.66,98.21,88.87,113.36,98.64,110.35,92.42
4.9,95.68,88.71,109.77,100.75,111.13,95.26
5.14,86.86,82.79,99.19,94.87,106.22,92.09
5.38,74.6,71.81,84.94,81.79,95.63,82.68
5.62,63.2,58.76,71.83,66.43,83.13,70.38
5.86,54.72,47.2,62.21,53.83,72.75,59.27
6.1,48.64,35.65,55.47,45.99,65.82,51.2
6.34,44.02,32.78,50.14,41.89,61.64,45.66
6.59,39.97,28.84,44.84,39.19,58.83,41.51
6.83,35.91,23.53,38.6,35.91,55.79,37.51
7.07,32.06,17.91,31.6,31.42,51.61,32.68
7.31,28.23,13.35,25,26.18,46.3,27.04
7.55,23.62,10.05,20.25,21.04,40.97,21.44
7.79,18.87,7.57,18.45,16.65,37.74,16.79
8.03,15.69,6.19,19.37,13.35,36.9,13.58
8.28,14.64,6.07,21.05,11.38,35.97,11.82
8.52,15.16,6.45,21.58,10.75,33.37,11.27
8.76,16.56,6.68,21.23,10.94,29.68,11.91
9,18.25,6.71,21.68,11.25,32.02,13.18
9.24,19.71,7.36,22.75,11.81,35.82,13.82
9.48,20.54,7.73,22.53,13.06,38.23,13.61
9.72,20.72,8,21.4,14.53,37.93,13.66
9.97,20.72,8.51,23.52,15.64,36.26,15.22
10.21,20.76,9.25,25.48,17.84,35.57,15.61
10.45,20.89,10,25.89,18.9,36.63,15.93
10.69,21.01,10.13,25.33,19.79,38.02,16.88
10.93,19.27,8.97,24.88,20.07,38.18,18.25
11.17,17.49,7.43,24.7,18.39,37.09,18.72
11.41,16.28,7.05,24.28,14.45,35.52,17.61
11.66,15.81,7.77,23.44,10.58,33.67,15.69
11.9,15.32,8.21,23.03,9.17,31.48,14.1
12.14,14.52,8.21,24.05,9.56,30.01,13.36
12.38,13.91,11.73,26.42,9.98,30.53,13.21
12.62,13.86,14.42,28.85,10.55,32.32,13.19
12.86,14.75,17.37,30.18,11.6,33.53,13.52
13.1,17.45,22.72,30.87,12.6,34.04,14.69
13.34,22.46,31.58,33.06,14.83,35.54,17.06
13.59,29.87,41.98,39.12,20.99,39.1,21.11
13.83,39.69,49.98,49.8,31.44,52.43,27.06
14.07,49.92,52.75,62.22,43.11,60.92,34.64
14.31,56.05,50.8,70.9,51.32,66.87,42.86
14.55,55.23,46.86,72.87,52.6,67.09,48.91
14.79,49.38,42.99,69.75,47.18,62.11,49.28
15.03,42.68,39.11,57.48,38.93,55.06,43.72
15.28,37.69,34.68,51.73,31.86,48.07,35.94
15.52,34.84,28.71,48.46,27.02,41.95,26.22
15.76,33.56,27.99,46.75,23.5,37.58,24.03
16,32.84,28.01,45.29,20.11,35.5,22.11
16.24,32.18,28.93,44.77,19.87,34.94,20.06
16.48,31.83,30.12,45.9,19.93,34.69,18.42
16.72,31.66,31.06,47.66,20.2,34.79,18.33
16.97,32.14,32.79,49.09,20.04,35.87,19.94
17.21,34.03,35.83,50.74,19.21,37.19,21.84
17.45,36.48,38.67,53.6,18.54,37.55,22.48
17.69,38.87,40.16,57.31,18.19,37.22,21.53
17.93,41,40.83,60.48,17.53,36.8,20.04
18.17,42.49,41.02,62.45,17.08,35.8,19.2
18.41,43.17,40.25,63.4,18.03,34.23,19.09
18.66,43.67,39.52,63.66,20.25,34.06,19.51
18.9,44.42,40.9,64.08,22.28,35.2,20.53
19.14,45.3,41.8,64.71,22.71,35.53,21.34
19.38,46,41.6,63.76,21.4,34.45,20.82
19.62,46,41.67,60.56,19.76,32.66,19.45
19.86,45.42,43.9,57.75,19.21,31.5,18.73
20.1,45.25,47.95,58.64,19.71,31.97,19.51
20.34,45.85,51.22,63.96,20.86,34.25,21.82
20.59,47.12,52.54,74.47,23.16,37.58,25.35
20.83,49.41,53.45,75.21,26.86,40.69,29.45
21.07,52,55.16,75.37,31.03,42.77,35.64
21.31,52.81,57.2,76.21,34.32,43.8,36.18
21.55,51.84,58.86,77.16,35.74,44.16,34.63
21.79,51.2,57.88,77.73,32.76,44.03,31.85
22.03,51.79,54.74,78.48,31.1,43.36,29.21
22.28,53.11,52.19,79.47,30.16,42.07,27.38
22.52,54.19,52.66,79.48,28.41,40,25.96
22.76,53.86,56.13,78.46,25.14,37.18,24.21
23,52.4,60.13,78.35,21.83,34.43,22.12
23.24,53.37,63.13,80.36,20.61,33.32,20.37
23.48,56.27,65.87,83.8,21.7,34.77,19.6
23.72,58.78,69.17,87.4,23.13,33.94,20.16
23.97,60.8,72.81,90.84,23.7,33.38,21.62
24.21,63.33,76.06,94.32,23.85,35,22.45
24.45,66.23,78.5,97.55,23.57,37.79,21.88
24.69,68.79,80.95,100.42,22.71,39.57,21.57
24.93,71.36,88,103.55,22.69,40.13,23.54
25.17,74.44,90.06,106.85,24.75,40.57,27.23
25.41,77.12,90.24,108.81,27.98,40.9,29.98
25.66,77.97,88.85,108.47,30.22,40.32,30.29
25.9,77.07,86.8,106.99,29.89,38.9,29.51
26.14,76.24,85.73,108,27.37,37.35,29.35
26.38,76.44,86.23,108.92,24.51,36.21,29.29
26.62,76.77,87.16,109.09,22.47,35.87,27.72
26.86,76.5,87.49,109.1,21.07,36.57,27.54
27.1,76.26,87.67,110.05,20.44,37.93,27.46
27.34,76.53,89.28,111.84,21.36,38.74,27.66
27.59,77.1,94.22,113.71,24.56,38.32,28.25
27.83,78.63,104.15,116.8,25.72,37.9,28.85
28.07,82.08,157.05,124.47,29.12,39.34,30.24
28.31,87.22,222.48,141.37,39.68,52.51,35.02
28.55,94.83,330.58,176.18,69.59,77.26,49.85
28.79,110.53,480,246.3,145.27,140.62,91.86
29.03,145.35,649.03,373.8,308.25,274.31,192.1
29.28,211.96,796.41,566.12,597.97,503.49,388.32
29.52,447.8,872.13,797.49,1013.75,820.57,703.18
29.76,578.23,844.21,1011.71,1481.55,1164.31,1110.05
30,669.67,724.63,1141.56,1865.17,1431.51,1513.58
30.24,690.7,561.62,1137.15,2029.93,1527.26,1781.22
30.48,633.52,406.17,999.65,1918.96,1419.51,1816.3
30.72,520,289.35,786.35,1584.82,1155.03,1614.33
30.97,389.19,219.73,570.42,1151.05,828,1258.46
31.21,276.92,183.9,292.82,740.33,528.35,865.61
31.45,201.85,189.59,238.96,426.68,306.25,529.88
31.69,163.74,196.56,222,228.21,169.42,295.44
31.93,151.6,197.92,225.95,123.84,100.15,159.66
32.17,152.74,192.31,236.25,78.11,72.4,66.19
